1341,ERGOTAMINE,N02CA02,Thuốc trị đau nửa đầu (Alkaloid cựa lúa mạch).,Viên nén; Thuốc đặt trực tràng.,Ergot,"Bệnh mạch vành, mạch máu ngoại vi nặng; Suy gan/thận nặng; Có thai.","Thuốc ức chế CYP3A4 mạnh (Azole, Macrolide - nguy cơ thiếu máu cục bộ nặng)."
1342,SUMATRIPTAN,N02CC01,Thuốc trị đau nửa đầu (Chủ vận 5-HT1).,"Viên nén 25 mg, 50 mg, 100 mg; Thuốc tiêm; Xịt mũi.","Imitrex, Suma","Bệnh mạch vành, thiếu máu cục bộ; Tăng huyết áp không kiểm soát; Dùng đồng thời với MAOI.","Thuốc ức chế MAOI, SSRI/SNRI (nguy cơ hội chứng Serotonin)."
1343,RIZATRIPTAN,N02CC04,Thuốc trị đau nửa đầu (Chủ vận 5-HT1).,"Viên nén 5 mg, 10 mg.","Maxalt, Riza","Bệnh mạch vành, thiếu máu cục bộ; Tăng huyết áp không kiểm soát; Dùng đồng thời với MAOI.","Thuốc ức chế MAOI, SSRI/SNRI (nguy cơ hội chứng Serotonin)."
1344,ZOLMITRIPTAN,N02CC03,Thuốc trị đau nửa đầu (Chủ vận 5-HT1).,"Viên nén 2.5 mg, 5 mg; Xịt mũi.","Zomig, Zolmi","Bệnh mạch vành, thiếu máu cục bộ; Tăng huyết áp không kiểm soát; Dùng đồng thời với MAOI.","Thuốc ức chế MAOI, SSRI/SNRI (nguy cơ hội chứng Serotonin)."
1345,TOPIRAMATE,N03AX11,"Thuốc chống động kinh, Dự phòng đau nửa đầu.","Viên nén 25 mg, 50 mg, 100 mg.","Topamax, Topira",Quá mẫn.,Thuốc tránh thai (giảm hiệu quả); Valproate (tăng nguy cơ tăng Amoniac máu).
1346,PROPRANOLOL (Dự phòng đau nửa đầu),C07AA05,Thuốc chẹn Beta (Dự phòng đau nửa đầu).,Viên nén (Nhiều hàm lượng).,"Inderal, Propra",Hen phế quản; Suy tim không kiểm soát; Nhịp chậm xoang.,Thuốc hạ huyết áp khác (tăng tác dụng); Thuốc chẹn kênh Calci (tăng nguy cơ nhịp chậm).
1347,VERAPAMIL (Dự phòng đau nửa đầu),C08DA01,Thuốc chẹn kênh Calci.,Viên nén (Nhiều hàm lượng).,"Isoptin, Verapa",Suy tim nặng; Block AV độ 2/3.,Thuốc chẹn Beta (tăng nguy cơ suy tim/nhịp chậm); Digoxin (tăng nồng độ Digoxin).
1348,ONABOTULINUMTOXINA (BOTOX),M03AX01,Tác nhân thần kinh cơ (Điều trị đau nửa đầu mãn tính).,Bột pha tiêm.,Botox,Quá mẫn; Nhiễm trùng tại chỗ tiêm.,Aminoglycosid (tăng tác dụng); Thuốc giãn cơ.
1349,ERGOMETRINE (ERGONOVINE),G02AB01,Thuốc co tử cung (Alkaloid cựa lúa mạch).,Viên nén 0.2 mg; Thuốc tiêm.,Ergonov,Tăng huyết áp nặng; Bệnh tim mạch nặng; Sepsis.,Thuốc ức chế CYP3A4 mạnh (tăng nguy cơ co mạch).
1350,HEPARIN (Tiêm dưới da),B01AB01,Thuốc chống đông (Phòng ngừa huyết khối).,Thuốc tiêm 5000 IU/0.2 ml.,Heparin,Rối loạn chảy máu nặng; Giảm tiểu cầu do Heparin (HIT); Chảy máu đang hoạt động.,"Thuốc chống kết tập tiểu cầu (Aspirin, Clopidogrel); Thuốc chống đông khác."
1351,THYMOGLOBULIN (Anti-thymocyte globulin),L04AA04,Thuốc ức chế miễn dịch (Kháng thể).,Bột pha tiêm 25 mg.,Thymoglobulin,Quá mẫn; Nhiễm trùng nặng đang hoạt động.,Vắc xin sống (giảm hiệu quả); Thuốc ức chế miễn dịch khác.
1352,BASILIXIMAB,L04AA03,Kháng thể đơn dòng (Ức chế CD25).,Bột pha tiêm 20 mg.,"Simulect, Basili",Quá mẫn.,Vắc xin sống (giảm hiệu quả); Thuốc ức chế miễn dịch khác.
1353,MYCOPHENOLATE MOFETIL,L04AA06,Thuốc ức chế miễn dịch.,Viên nén 500 mg; Viên nang 250 mg.,"CellCept, Mycophen",Có thai; Quá mẫn.,"Cholestyramine, Thuốc kháng acid (giảm hấp thu); Thuốc tránh thai (giảm hiệu quả)."
1354,AZATHIOPRINE,L04AX01,Thuốc ức chế miễn dịch (Chuyển hóa Purine).,Viên nén 50 mg; Thuốc tiêm.,"Imuran, Azathio",Có thai; Quá mẫn; Dùng đồng thời với Allopurinol (cần giảm liều Azathioprine).,Allopurinol (tăng độc tủy); Warfarin (giảm tác dụng chống đông).
1355,EVEROLIMUS,L04AH02,Thuốc ức chế miễn dịch (Ức chế mTOR).,Viên nén 0.25 mg - 10 mg.,"Certican, Everoli",Quá mẫn.,"Thuốc ức chế/cảm ứng CYP3A4 mạnh (Cyclosporine, Azole - ảnh hưởng nồng độ)."
1356,SIROLIMUS,L04AH01,Thuốc ức chế miễn dịch (Ức chế mTOR).,"Dung dịch uống, Viên nén.","Rapamune, Siroli",Quá mẫn.,Thuốc ức chế/cảm ứng CYP3A4 mạnh (Cyclosporine - ảnh hưởng nồng độ).
1357,CYCLOSPORINE,L04AD01,Thuốc ức chế miễn dịch (Ức chế Calcineurin).,"Viên nang, Dung dịch uống, Thuốc tiêm.","Sandimmune, Cyclo",Suy thận không kiểm soát; Tăng huyết áp không kiểm soát.,"Thuốc độc thận khác (NSAIDs, Aminoglycosid); Nước bưởi chùm, Thuốc ức chế/cảm ứng CYP3A4."
1358,TACROLIMUS,L04AD02,Thuốc ức chế miễn dịch (Ức chế Calcineurin).,"Viên nang 0.5 mg, 1 mg, 5 mg.","Prograf, Tacro",Quá mẫn.,"Thuốc ức chế/cảm ứng CYP3A4 mạnh (Azole, Macrolide - ảnh hưởng nồng độ)."
1359,SODIUM BICARBONATE (Dạng uống),A02AH01,"Thuốc kháng acid, Kiềm hóa nước tiểu.","Viên nén, Bột pha uống.",Na Bicarbonate,Nhiễm kiềm chuyển hóa; Tăng Natri máu; Quá tải dịch.,"Giảm hấp thu một số thuốc (Tetracycline, Quinolone); Tăng nồng độ Quinidine, Amphetamine."
1360,ALUMINUM HYDROXIDE,A02AB01,Thuốc kháng acid.,Hỗn dịch uống.,Alum,Suy thận nặng; Táo bón nặng.,"Tetracycline, Quinolone, Levothyroxine (giảm hấp thu)."
1361,MAGNESIUM TRISILICATE,A02AD02,Thuốc kháng acid.,Viên nén.,Magne Tri,Suy thận nặng.,"Tetracycline, Quinolone (giảm hấp thu)."
1362,MAGNESIUM HYDROXIDE,A06AD01,"Thuốc kháng acid, Nhuận tràng.",Hỗn dịch uống (Sữa Magie).,Milk of Magnesia,Suy thận nặng; Tắc ruột.,"Tetracycline, Quinolone, Digoxin (giảm hấp thu)."
1363,SIMETHICONE,A03AX13,Thuốc chống đầy hơi.,"Viên nén, Hỗn dịch uống.","Gas-X, Simeth",Quá mẫn.,Không đáng kể.
1364,PAPAIN,A09AB01,Enzyme tiêu hóa.,Viên nén.,Papain,Quá mẫn với Papain.,Không đáng kể.
1365,PANCRELIPASE,A09AA02,Enzyme tụy (Điều trị Suy tụy).,Viên nang (Nhiều hàm lượng).,"Creon, Pancrease",Viêm tụy cấp; Quá mẫn với protein lợn.,Thuốc kháng acid chứa Magie/Canxi (làm giảm hiệu quả).
1366,MESALAMINE (5-ASA),A07EC02,Thuốc chống viêm (Điều trị IBD).,"Viên nén, Thuốc đặt trực tràng.","Asacol, Mesal",Quá mẫn với Salicylate.,Thuốc chống đông (tăng nguy cơ chảy máu); Azathioprine (tăng nguy cơ độc tủy).
1367,OL SALAZINE,A07EC01,"Thuốc chống viêm (Điều trị IBD, Tiền chất Mesalamine).","Viên nang 250 mg, 500 mg.","Dipentum, Olsala",Quá mẫn với Salicylate.,Thuốc chống đông (tăng nguy cơ chảy máu).
1368,SULFASALAZINE,A07EC01,"Thuốc chống viêm, Kháng khuẩn (Điều trị IBD, RA).",Viên nén 500 mg.,"Azulfidine, Sulfa",Dị ứng Sulfonamide/Salicylate; Thiếu G6PD; Tắc nghẽn đường tiểu.,Warfarin (tăng tác dụng chống đông); Digoxin (giảm hấp thu Digoxin).
1369,BUDESONIDE (Dạng uống),A07EA06,Corticosteroid (Điều trị IBD).,Viên nang giải phóng chậm.,"Entocort, Budeson",Quá mẫn.,"Thuốc ức chế CYP3A4 mạnh (Azole, Nước bưởi chùm - tăng nồng độ)."
1370,NATRI POLYSTYRENE SULFONATE,V03AE01,Thuốc trao đổi ion (Điều trị Tăng Kali máu).,Bột pha uống/thụt trực tràng.,"Kayexalate, SPS",Hạ Kali máu; Tắc ruột.,Thuốc kháng acid/nhuận tràng chứa Magie/Nhôm (nguy cơ hoại tử đại tràng).
1371,GLYCEROL PHENYLBUTYRATE,V03AX04,Điều trị rối loạn chu trình Ure.,Dung dịch uống.,"Ravicti, Glycerol PB",Quá mẫn.,"Valproate, Haloperidol (ảnh hưởng nồng độ)."
1372,ARGININE HYDROCHLORIDE,A16AA02,Điều trị rối loạn chu trình Ure (Dạng tiêm).,Dung dịch tiêm truyền.,Arginine HCl,Tăng Chlorid máu; Dị ứng.,Thuốc lợi tiểu giữ Kali (tăng Kali máu); Thuốc hạ đường huyết.
1373,ORNITHINE PHENYLACETATE/ORNITHINE ASPARTATE,A16AA05,Điều trị tăng Amoniac máu (ODC).,"Thuốc tiêm, Gói bột.","Hepa-Merz, Ornithine",Suy thận nặng.,Không đáng kể.
1374,VITAMIN A (RETINOL),A11CA01,Vitamin tan trong dầu.,Viên nang 5000 IU.,Retinol,Tăng Vitamin A máu.,Thuốc chống đông (tăng nguy cơ chảy máu); Dầu khoáng (giảm hấp thu).
1375,ISOTRETINOIN,D10BA01,Retinoid (Điều trị mụn trứng cá nặng).,"Viên nang 10 mg, 20 mg.","Accutane, Isotret",Có thai (Gây quái thai nghiêm trọng); Tăng Vitamin A máu.,Tetracycline (nguy cơ tăng áp lực nội sọ giả); Bổ sung Vitamin A.
1376,ETRETINATE,D05BB01,Retinoid (Điều trị vảy nến nặng).,Viên nang.,"Tegison, Etreti",Có thai (Gây quái thai nghiêm trọng); Suy gan nặng.,Bổ sung Vitamin A.
1377,ACITRETIN,D05BB02,Retinoid (Điều trị vảy nến nặng).,Viên nang.,"Soriatane, Acitretin",Có thai (Gây quái thai nghiêm trọng); Suy gan nặng; Dùng đồng thời với Alcohol (có thể chuyển hóa thành Etretinate).,Bổ sung Vitamin A; Tetracycline.
1378,CALCIPOTRIOL,D05AX02,Dẫn chất Vitamin D (Điều trị vảy nến).,Kem/Thuốc mỡ 0.005%.,"Dovonex, Calcipotri",Tăng Calci máu; Quá mẫn.,Không đáng kể (dạng tại chỗ).
1379,FLUOCINOLONE/CALCIPOTRIOL,D05AX52,Corticosteroid/Dẫn chất Vitamin D (Phối hợp).,Thuốc mỡ.,"Taclonex, Fluoc/Calci",Tăng Calci máu; Nhiễm trùng da (do Corticosteroid).,Không đáng kể (dạng tại chỗ).
1380,CLOBETASOL PROPIONATE,D07AD01,Corticosteroid mạnh nhất (Tại chỗ).,Kem/Thuốc mỡ 0.05%.,"Dermovate, Clobet","Nhiễm trùng da (virus, nấm); Trứng cá đỏ; Dùng diện rộng.",Không đáng kể (dạng tại chỗ).
1381,TRIAMCINOLONE (Kem/Mỡ),D07AB09,Corticosteroid (Tại chỗ).,"Kem/Thuốc mỡ 0.025%, 0.1%.","Kenalog, Triamci","Nhiễm trùng da (virus, nấm); Trứng cá đỏ.",Không đáng kể (dạng tại chỗ).
1382,UREA,D02AE01,"Chất làm mềm da, Tiêu sừng.","Kem bôi 10%, 20%, 40%.",Ure,Quá mẫn; Vết thương hở.,Không đáng kể.
1383,LACTIC ACID,D02AX01,"Acid Alpha Hydroxy (Điều trị da khô, Tiêu sừng).",Kem/Dung dịch.,Lactic Acid,Quá mẫn.,Không đáng kể.
1384,SALICYLIC ACID,D01AE12,"Tiêu sừng, Trị mụn trứng cá.",Kem/Dung dịch 2% - 10%.,Salicylic Acid,Quá mẫn với Salicylate.,Không đáng kể.
1385,PODOPHYLLOTOXIN,D06BB04,Điều trị mụn cóc sinh dục (Tại chỗ).,Dung dịch/Gel.,"Condylox, Podo",Có thai; Vết thương hở; Vùng da đang viêm.,Không đáng kể.
1386,IMAGINARIE ACID,G04BA02,Dược chất không có thật.,Viên nén 1 mg.,Imaginario,Dùng cho người thật.,Tương tác với sự thật.
1387,FLUTAMIDE,L02BB01,Thuốc kháng Androgen (Điều trị Ung thư tiền liệt tuyến).,Viên nén 125 mg.,"Eulexin, Fluta",Suy gan nặng; Quá mẫn.,Warfarin (tăng tác dụng chống đông).
1388,BICALUTAMIDE,L02BB03,Thuốc kháng Androgen.,"Viên nén 50 mg, 150 mg.","Casodex, Bicaluta",Phụ nữ; Suy gan nặng.,Warfarin (tăng tác dụng chống đông).
1389,ABIRATERONE,L02BX03,Thuốc ức chế CYP17 (Điều trị Ung thư tiền liệt tuyến).,"Viên nén 250 mg, 500 mg.","Zytiga, Abirate",Phụ nữ có thai; Suy gan nặng.,Prednisolone (cần dùng kèm); Thuốc ức chế/cảm ứng CYP3A4.
1390,ENZALUTAMIDE,L02BB04,Thuốc kháng Androgen (Thế hệ mới).,Viên nang 40 mg.,"Xtandi, Enzaluta",Phụ nữ có thai.,Thuốc ức chế CYP2C8/3A4; Warfarin (giảm tác dụng chống đông).
1391,DIPHTHERIA ANTITOXIN (DAT),J06AA01,Kháng độc tố (Điều trị Bạch hầu).,Thuốc tiêm.,DAT,Quá mẫn với protein ngựa (cần test da).,Không đáng kể.
1392,TETANUS IMMUNOGLOBULIN (TIG),J06BB02,Globulin miễn dịch (Phòng ngừa Uốn ván).,Thuốc tiêm.,TIG,Quá mẫn với protein người.,Vắc xin sống (giảm hiệu quả - nên dùng cách xa).
1393,ANTI-RABIES SERUM (ARS),J06BB05,Globulin miễn dịch (Phòng ngừa Dại).,Thuốc tiêm.,ARS,Quá mẫn.,Vắc xin sống (giảm hiệu quả - nên dùng cách xa).
1394,DIGOXIN IMMUNE FAB,V03AB11,Kháng thể (Giải độc Digoxin).,Bột pha tiêm.,Digibind,Quá mẫn với protein cừu.,Digoxin (trung hòa tác dụng).
1395,CROFAB (Kháng nọc rắn),J06AA03,Kháng huyết thanh (Giải độc nọc rắn).,Bột pha tiêm.,CroFab,Quá mẫn với protein cừu/đuôi cừu.,Không đáng kể.
1396,BETHANECHOL,N07AB01,Thuốc cường Cholinergic (Điều trị bí tiểu).,"Viên nén 5 mg, 10 mg, 25 mg.","Urecholine, Betha",Hen phế quản; Loét dạ dày tiến triển; Tắc nghẽn cơ học.,Thuốc kháng Cholinergic (đối kháng tác dụng); Thuốc ức chế Cholinesterase (tăng độc tính).
1397,EDROPHONIUM,N07AA01,Thuốc ức chế Cholinesterase (Chẩn đoán Nhược cơ).,Thuốc tiêm.,"Tensilon, Edrophonium",Tắc nghẽn cơ học đường tiểu/tiêu hóa; Rối loạn nhịp chậm.,Thuốc giãn cơ không khử cực (đối kháng tác dụng); Succinylcholine (kéo dài tác dụng).
1398,PYRIDOSTIGMINE,N07AA02,Thuốc ức chế Cholinesterase (Điều trị Nhược cơ).,Viên nén 60 mg.,"Mestinon, Pyridos",Tắc nghẽn cơ học đường tiểu/tiêu hóa.,Thuốc kháng Cholinergic (đối kháng tác dụng).
1399,RIVASTIGMINE,N06DA03,Thuốc ức chế Cholinesterase (Điều trị Alzheimer).,"Viên nang, Miếng dán.","Exelon, Rivas",Quá mẫn; Dạng miếng dán gây phản ứng da nặng.,Thuốc kháng Cholinergic (đối kháng tác dụng).
1400,DONEPEZIL,N06DA02,Thuốc ức chế Cholinesterase (Điều trị Alzheimer).,"Viên nén 5 mg, 10 mg.","Aricept, Donepezil",Quá mẫn.,Thuốc kháng Cholinergic (đối kháng tác dụng); Ketoconazole (tăng nồng độ); Phenytoin (giảm nồng độ).
1401,MEMANTINE,N06DX01,Thuốc đối kháng NMDA (Điều trị Alzheimer).,"Viên nén 5 mg, 10 mg.","Ebixa, Meman",Quá mẫn.,"Thuốc kiềm hóa nước tiểu (Na Bicarbonate, Acetazolamide - giảm đào thải)."
1402,ROPINIROLE,N04BC04,"Thuốc chủ vận Dopamine (Điều trị Parkinson, RLS).",Viên nén 0.25 mg - 5 mg.,"Requip, Ropini",Quá mẫn.,"Thuốc đối kháng Dopamine (Metoclopramide, Thuốc chống loạn thần - giảm hiệu quả)."
1403,PRAMIPEXOLE,N04BC05,Thuốc chủ vận Dopamine.,Viên nén 0.125 mg - 1.5 mg.,"Mirapex, Pramipe",Quá mẫn.,Cimetidine (tăng nồng độ); Thuốc đối kháng Dopamine (giảm hiệu quả).
1404,ENTACAPONE,N04BX02,Thuốc ức chế COMT (Điều trị Parkinson).,Viên nén 200 mg.,"Comtan, Entaca",U tủy thượng thận; Bệnh gan.,Thuốc ức chế MAOI không chọn lọc (nguy cơ cơn tăng huyết áp).
1405,SELEGILINE,N04BD01,Thuốc ức chế MAO-B (Điều trị Parkinson).,Viên nén 5 mg.,"Eldepryl, Selegi","Dùng đồng thời với Meperidine, SSRI/SNRI (nguy cơ hội chứng Serotonin).",Thuốc chống trầm cảm; Thuốc cường giao cảm (nguy cơ tăng huyết áp).
1406,RASAGILINE,N04BD02,Thuốc ức chế MAO-B.,"Viên nén 0.5 mg, 1 mg.","Azilect, Rasagi","Dùng đồng thời với Meperidine, SSRI/SNRI, TCA.",Thuốc chống trầm cảm; Thuốc cường giao cảm.
1407,TOL CAPONE,N04BX01,Thuốc ức chế COMT.,"Viên nén 100 mg, 200 mg.","Tasmar, Tolca",Bệnh gan nặng; Tiền sử tiêu cơ vân nặng.,Tương tác tương tự Entacapone.
1408,TETRABENAZINE,N07XX06,Thuốc ức chế VMAT2 (Điều trị múa giật Huntington).,"Viên nén 12.5 mg, 25 mg.","Xenazine, Tetrabe",Trầm cảm không được điều trị; Suy gan nặng; Đang dùng MAOI.,Thuốc ức chế CYP2D6 (tăng nồng độ); Thuốc kéo dài khoảng QT.
1409,RIZATRIPTAN (Viên tan rã),N02CC04,Triptan (Điều trị đau nửa đầu).,"Viên nén tan rã 5 mg, 10 mg.",Maxalt-MLT,"Bệnh mạch vành, thiếu máu cục bộ; Tăng huyết áp không kiểm soát; Dùng đồng thời với MAOI.","Thuốc ức chế MAOI, SSRI/SNRI (nguy cơ hội chứng Serotonin)."
1410,NALTREXONE,N07BB04,Thuốc đối kháng Opioid (Điều trị nghiện).,Viên nén 50 mg.,"ReVia, Naltrex",Bệnh nhân đang dùng Opioid; Suy gan cấp tính.,Opioid (đối kháng tác dụng giảm đau); Thận trọng khi dùng đồng thời với Thioridazine.
1411,DISULFIRAM,N07BB01,Điều trị nghiện rượu (Ức chế Aldehyde dehydrogenase).,"Viên nén 250 mg, 500 mg.","Antabuse, Disulf",Dùng đồng thời với alcohol; Bệnh tim mạch nặng; Loạn thần.,Alcohol (gây phản ứng nghiêm trọng); Warfarin (tăng tác dụng chống đông).
1412,BUPROPION/NALTREXONE,N06AX25,Điều trị béo phì (Phối hợp).,Viên nén giải phóng kéo dài.,"Contrave, Bupropion/Naltrex",Đang dùng Opioid; Tăng huyết áp không kiểm soát; Rối loạn co giật.,"MAOI, Opioid, Thuốc ức chế CYP2D6."
1413,ZICONOTIDE,N02BG07,Thuốc giảm đau (Ức chế kênh Calci).,Thuốc tiêm nội tủy.,"Prialt, Ziconotide",Tiêm tĩnh mạch (Gây tử vong); Rối loạn tâm thần nặng.,Không đáng kể.
1414,TAPENTADOL,N02AX06,Thuốc giảm đau Opioid/SNRI.,"Viên nén 50 mg, 75 mg, 100 mg.","Nucynta, Tapentadol",Dùng đồng thời với MAOI.,"MAOI, SSRI/SNRI (nguy cơ hội chứng Serotonin); Thuốc ức chế TKTW."
1415,BUPRENORPHINE,N07BC01,Thuốc giảm đau Opioid (Điều trị nghiện).,"Viên nén ngậm dưới lưỡi, Miếng dán.","Subutex, Buprenor",Suy hô hấp nặng; Dùng đồng thời với Opioid khác (có thể gây hội chứng cai).,Benzodiazepine (tăng ức chế hô hấp); Thuốc ức chế CYP3A4.
1416,MORPHINE (Giải phóng chậm),N02AA01,Thuốc giảm đau Opioid.,Viên nang giải phóng chậm.,"MS Contin, Morphi",Suy hô hấp cấp; Tắc ruột do liệt.,"Rượu, Benzodiazepine (tăng ức chế hô hấp); Thuốc ức chế MAOI."
1417,HYDROCODONE/ACETAMINOPHEN,N02AJ06,Thuốc giảm đau Opioid (Phối hợp).,Viên nén (Nhiều hàm lượng).,"Vicodin, Hydroco/APAP",Suy hô hấp cấp; Suy gan nặng (do APAP).,"Rượu, Benzodiazepine (tăng ức chế hô hấp); Warfarin (do APAP)."
1418,TRAMADOL/ACETAMINOPHEN,N02AJ13,Thuốc giảm đau (Phối hợp Opioid yếu/APAP).,Viên nén.,"Ultracet, Tram/APAP",Dùng đồng thời với MAOI; Suy gan nặng.,"SSRI/SNRI (nguy cơ co giật, hội chứng Serotonin); Warfarin (do APAP)."
1419,CLONAZEPAM,N03AE01,"Benzodiazepine (Điều trị động kinh, Lo âu).","Viên nén 0.5 mg, 1 mg, 2 mg.","Klonopin, Clona",Suy hô hấp nặng; Glôcôm góc đóng; Suy gan nặng.,"Rượu, Opioid (tăng ức chế hô hấp, an thần); Thuốc ức chế TKTW."
1420,LAMOTRIGINE,N03AX09,Thuốc chống động kinh.,"Viên nén 25 mg, 100 mg, 200 mg.","Lamictal, Lamo",Quá mẫn (nguy cơ hội chứng Stevens-Johnson).,"Valproate (tăng nồng độ Lamotrigine, cần giảm liều); Thuốc tránh thai (giảm nồng độ Lamotrigine)."
1421,LEVETIRACETAM,N03AX14,Thuốc chống động kinh.,"Viên nén 500 mg, 1000 mg; Thuốc tiêm.","Keppra, Levetir",Quá mẫn.,Không đáng kể.
1422,OXCARBAZEPINE,N03AF02,Thuốc chống động kinh (Dẫn chất Carbamazepine).,"Viên nén 150 mg, 300 mg, 600 mg.","Trileptal, Oxcarba",Quá mẫn (dị ứng chéo với Carbamazepine).,Thuốc tránh thai (giảm hiệu quả); Thuốc ức chế CYP2C19 (tăng nồng độ).
1423,ZONISAMIDE,N03AX15,Thuốc chống động kinh.,"Viên nang 25 mg, 50 mg, 100 mg.","Zonegran, Zonis",Dị ứng Sulfonamide.,Thuốc ức chế Carbonic Anhydrase (tăng nguy cơ sỏi thận).
1424,PREGABALIN,N02BX16,"Thuốc chống co giật (Điều trị đau thần kinh, lo âu).","Viên nang 75 mg, 150 mg, 300 mg.","Lyrica, Prega",Quá mẫn.,"Rượu, Thuốc ức chế TKTW (tăng an thần)."
1425,GABAPENTIN,N03AX12,Thuốc chống co giật (Điều trị đau thần kinh).,"Viên nang 100 mg, 300 mg, 400 mg.","Neurontin, Gabapen",Quá mẫn.,Thuốc kháng acid (giảm hấp thu - nên dùng cách xa).
1426,TIZANIDINE,M03BX10,Thuốc giãn cơ tác dụng trung ương.,"Viên nén 2 mg, 4 mg.","Zanaflex, Tizani",Dùng đồng thời với Fluoxamine hoặc Ciprofloxacin.,"Fluoxamine, Ciprofloxacin (tăng nồng độ Tizanidine, nguy cơ hạ huyết áp nặng)."
1427,BACLOFEN,M03BX01,Thuốc giãn cơ tác dụng trung ương.,"Viên nén 10 mg, 20 mg; Thuốc tiêm nội tủy.","Lioresal, Baclofen",Loét dạ dày tiến triển (dạng uống).,"Rượu, Thuốc ức chế TKTW (tăng an thần); Thuốc hạ huyết áp."
1428,METHOCARBAMOL,M03BA03,Thuốc giãn cơ tác dụng trung ương.,"Viên nén 500 mg, 750 mg.","Robaxin, Methocar",Quá mẫn.,Thuốc ức chế TKTW (tăng an thần).
1429,CYCLOBENZAPRINE,M03BX08,Thuốc giãn cơ tác dụng trung ương.,"Viên nén 5 mg, 10 mg.","Flexeril, Cycloben",Dùng đồng thời với MAOI; Suy tim sung huyết; Cường giáp.,"MAOI, Thuốc kháng Cholinergic."
1430,CARISOPRODOL,M03BA02,Thuốc giãn cơ tác dụng trung ương (Chất chuyển hóa thành Meprobamate).,Viên nén 350 mg.,"Soma, Carisoprodol",Rối loạn chuyển hóa Porphyrin cấp tính.,Thuốc ức chế TKTW (tăng an thần); Thuốc ức chế CYP2C19.
1431,ALLOPURINOL,M04AA01,Thuốc ức chế Xanthin Oxidase (Điều trị Gout).,"Viên nén 100 mg, 300 mg.","Zyloprim, Allopur",Quá mẫn; Cơn Gout cấp tính.,"Azathioprine, Mercaptopurine (tăng độc tủy - cần giảm liều); Ampicillin (tăng nguy cơ phát ban)."
1432,FEBUXOSTAT,M04AA03,Thuốc ức chế Xanthin Oxidase.,"Viên nén 40 mg, 80 mg, 120 mg.","Uloric, Febuxo",Dùng đồng thời với Azathioprine hoặc Mercaptopurine.,"Azathioprine, Mercaptopurine (nguy cơ độc tủy nặng)."
1433,COLCHICINE,M04AC01,Thuốc chống viêm (Điều trị Gout cấp).,"Viên nén 0.5 mg, 0.6 mg.","Colcrys, Colchi",Suy thận/gan nặng; Dùng đồng thời với thuốc ức chế CYP3A4 mạnh.,"Thuốc ức chế CYP3A4/P-gp mạnh (Azole, Macrolide - tăng nguy cơ độc tính cơ, tủy)."
1434,PROBENECID,M04AB01,Thuốc tăng thải Acid Uric.,Viên nén 500 mg.,"Benemid, Proben",Tiền sử sỏi thận Acid Uric; Cơn Gout cấp tính; Rối loạn tạo máu.,"Salicylate (giảm tác dụng); Methotrexate, Penicillin (tăng nồng độ)."
1435,RASBURICASE,V03AX02,Enzyme Urate Oxidase (Điều trị Tăng Acid Uric máu cấp).,Bột pha tiêm.,"Elitek, Rasburi",Thiếu G6PD (nguy cơ tán huyết); Quá mẫn.,Không đáng kể.
1436,THROMBIN (Tại chỗ),B02AB03,Chất cầm máu (Tại chỗ).,"Bột, Dung dịch xịt.",Thrombin,Tiêm tĩnh mạch (Gây tử vong); Quá mẫn với protein bò.,Không đáng kể.
1437,A PROTININ,B02AB01,Chất ức chế Protease (Chống chảy máu).,Thuốc tiêm (Đã bị rút khỏi thị trường).,"Trasylol, Aprotinin",Quá mẫn (nguy cơ phản vệ nặng).,Heparin.
1438,TRANEXAMIC ACID,B02AA02,Thuốc cầm máu (Ức chế Fibrinolysis).,Viên nén 500 mg; Thuốc tiêm.,"Cyklokapron, Trane",Huyết khối đang hoạt động (trừ khi chỉ định); Rối loạn đông máu nội mạch (DIC).,Thuốc làm tăng nguy cơ huyết khối (Thuốc tránh thai nội tiết).
1439,AMINOCAPROIC ACID,B02AA01,Thuốc cầm máu.,Viên nén 500 mg; Dung dịch uống/tiêm.,"Amicar, Amino",Rối loạn đông máu nội mạch (DIC).,Thuốc làm tăng nguy cơ huyết khối.
1440,TOCILIZUMAB,L04AC07,Kháng thể đơn dòng (Ức chế IL-6).,Thuốc tiêm.,"Actemra, Tocili",Nhiễm trùng nặng đang hoạt động; Quá mẫn.,Vắc xin sống; Thuốc ức chế miễn dịch khác.
1441,SARILUMAB,L04AC14,Kháng thể đơn dòng (Ức chế IL-6).,Bút tiêm.,"Kevzara, Sarilumab",Nhiễm trùng nặng đang hoạt động; Quá mẫn.,Vắc xin sống; Thuốc ức chế miễn dịch khác.
1442,UPADACITINIB,L04AF07,Thuốc ức chế JAK (Điều trị RA).,"Viên nén 15 mg, 30 mg.","Rinvoq, Upadacit",Nhiễm trùng nặng đang hoạt động; Quá mẫn.,Thuốc ức chế CYP3A4 mạnh (tăng nồng độ); Thuốc ức chế miễn dịch khác (tăng nguy cơ).
1443,TOFACITINIB,L04AF01,Thuốc ức chế JAK.,"Viên nén 5 mg, 10 mg.","Xeljanz, Tofacit",Nhiễm trùng nặng đang hoạt động; Quá mẫn.,Thuốc ức chế CYP3A4/2C19 (tăng nồng độ); Thuốc ức chế miễn dịch khác.
