inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
ETRETINATE,Retinoid (Điều trị vảy nến nặng).,"['Tegison', 'Etreti']",['Viên nang'],etretinate,d05bb01,retinoid (dieu tri vay nen nang).,['vien nang'],"['tegison', 'etreti']","['vien', 'dieu', 'etretinate', 'nang', 'vay', 'etreti', 'd05bb01', 'tegison', 'retinoid', 'tri', 'nen']",[],"{""oral""}",False,,['hepatic_toxic'],Có thai (Gây quái thai nghiêm trọng); Suy gan nặng.,"{""dermatology""}"
ACITRETIN,Retinoid (Điều trị vảy nến nặng).,"['Soriatane', 'Acitretin']",['Viên nang'],acitretin,d05bb02,retinoid (dieu tri vay nen nang).,['vien nang'],"['soriatane', 'acitretin']","['nen', 'vien', 'dieu', 'nang', 'vay', 'acitretin', 'retinoid', 'soriatane', 'tri', 'd05bb02']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Có thai (Gây quái thai nghiêm trọng); Suy gan nặng; Dùng đồng thời với Alcohol (có thể chuyển hóa thành Etretinate).,"{""dermatology""}"
CALCIPOTRIOL,Dẫn chất Vitamin D (Điều trị vảy nến).,"['Dovonex', 'Calcipotri']",['Kem/Thuốc mỡ 0.005%'],calcipotriol,d05ax02,dan chat vitamin d (dieu tri vay nen).,['kem/thuoc mo 0.005%'],"['dovonex', 'calcipotri']","['dieu', 'calcipotri', 'd', 'dan', 'vay', 'mo', 'kem/thuoc', 'd05ax02', 'calcipotriol', 'chat', '0005%', 'tri', 'nen', 'dovonex', 'vitamin']",[],"{""oral""}",False,,[],Tăng Calci máu; Quá mẫn.,"{""dermatology""}"
FLUOCINOLONE/CALCIPOTRIOL,Corticosteroid/Dẫn chất Vitamin D (Phối hợp).,"['Taclonex', 'Fluoc/Calci']",['Thuốc mỡ'],fluocinolone/calcipotriol,d05ax52,corticosteroid/dan chat vitamin d (phoi hop).,['thuoc mo'],"['taclonex', 'fluoc/calci']","['corticosteroid/dan', 'd05ax52', 'd', 'fluocinolone/calcipotriol', 'hop', 'thuoc', 'chat', 'taclonex', 'mo', 'phoi', 'vitamin', 'fluoc/calci']",[],"{""oral""}",False,,[],Tăng Calci máu; Nhiễm trùng da (do Corticosteroid).,"{""dermatology""}"
CLOBETASOL PROPIONATE,Corticosteroid mạnh nhất (Tại chỗ).,"['Dermovate', 'Clobet']",['Kem/Thuốc mỡ 0.05%'],clobetasol propionate,d07ad01,corticosteroid manh nhat (tai cho).,['kem/thuoc mo 0.05%'],"['dermovate', 'clobet']","['tai', '005%', 'propionate', 'clobetasol', 'clobet', 'd07ad01', 'dermovate', 'kem/thuoc', 'cho', 'nhat', 'manh', 'mo', 'corticosteroid']",[],"{""oral""}",False,,[],"Nhiễm trùng da (virus, nấm); Trứng cá đỏ; Dùng diện rộng.","{""dermatology""}"
TRIAMCINOLONE (Kem/Mỡ),Corticosteroid (Tại chỗ).,"['Kenalog', 'Triamci']","['Kem/Thuốc mỡ 0.025%', 'Kem/Thuốc mỡ 0.1%']",triamcinolone (kem/mo),d07ab09,corticosteroid (tai cho).,"['kem/thuoc mo 0.025%', 'kem/thuoc mo 0.1%']","['kenalog', 'triamci']","['d07ab09', 'tai', 'triamcinolone', 'kenalog', 'triamci', 'kem/mo', 'kem/thuoc', '01%', 'cho', '0025%', 'mo', 'corticosteroid']",[],"{""oral""}",False,,[],"Nhiễm trùng da (virus, nấm); Trứng cá đỏ.","{""dermatology""}"
UREA,"Chất làm mềm da, Tiêu sừng.",['Ure'],"['Kem bôi 10%', 'Kem bôi 20%', 'Kem bôi 40%']",urea,d02ae01,"chat lam mem da, tieu sung.","['kem boi 10%', 'kem boi 20%', 'kem boi 40%']",['ure'],"['sung', 'ure', 'boi', '40%', '20%', 'mem', 'kem', 'lam', 'chat', 'tieu', 'da', '10%', 'd02ae01', 'urea']",[],"{""oral""}",False,,[],Quá mẫn; Vết thương hở.,"{""dermatology""}"
LACTIC ACID,"Acid Alpha Hydroxy (Điều trị da khô, Tiêu sừng).",['Lactic Acid'],['Kem/Dung dịch'],lactic acid,d02ax01,"acid alpha hydroxy (dieu tri da kho, tieu sung).",['kem/dung dich'],['lactic acid'],"['d02ax01', 'hydroxy', 'dieu', 'lactic', 'sung', 'acid', 'kem/dung', 'dich', 'alpha', 'kho', 'tieu', 'da', 'tri']",[],"{""oral""}",False,,[],Quá mẫn.,"{""dermatology""}"
SALICYLIC ACID,"Tiêu sừng, Trị mụn trứng cá.",['Salicylic Acid'],['Kem/Dung dịch 2% - 10%'],salicylic acid,d01ae12,"tieu sung, tri mun trung ca.",['kem/dung dich 2% - 10%'],['salicylic acid'],"['d01ae12', 'mun', 'sung', 'ca', 'acid', 'kem/dung', 'dich', 'trung', 'tieu', '2%', 'tri', '10%', 'salicylic']",[],"{""oral""}",False,,[],Quá mẫn với Salicylate.,"{""dermatology""}"
PODOPHYLLOTOXIN,Điều trị mụn cóc sinh dục (Tại chỗ).,"['Condylox', 'Podo']",['Dung dịch/Gel'],podophyllotoxin,d06bb04,dieu tri mun coc sinh duc (tai cho).,['dung dich/gel'],"['condylox', 'podo']","['mun', 'tai', 'podophyllotoxin', 'dieu', 'duc', 'dich/gel', 'd06bb04', 'sinh', 'coc', 'condylox', 'dung', 'podo', 'tri', 'cho']",[],"{""oral""}",False,,[],Có thai; Vết thương hở; Vùng da đang viêm.,"{""dermatology""}"
IMAGINARIE ACID,Dược chất không có thật.,['Imaginario'],['Viên nén 1 mg'],imaginarie acid,g04ba02,duoc chat khong co that.,['vien nen 1mg'],['imaginario'],"['vien', 'imaginario', 'co', 'imaginarie', 'acid', 'g04ba02', 'chat', 'khong', '1mg', 'that', 'nen', 'duoc']",[],"{""oral""}",False,,[],Dùng cho người thật.,{}
FLUTAMIDE,Thuốc kháng Androgen (Điều trị Ung thư tiền liệt tuyến).,"['Eulexin', 'Fluta']",['Viên nén 125 mg'],flutamide,l02bb01,thuoc khang androgen (dieu tri ung thu tien liet tuyen).,['vien nen 125mg'],"['eulexin', 'fluta']","['125mg', 'tien', 'dieu', 'vien', 'flutamide', 'fluta', 'thu', 'thuoc', 'liet', 'l02bb01', 'tuyen', 'androgen', 'tri', 'nen', 'ung', 'eulexin', 'khang']",[],"{""oral""}",False,,['hepatic_toxic'],Suy gan nặng; Quá mẫn.,"{""oncology""}"
BICALUTAMIDE,Thuốc kháng Androgen.,"['Casodex', 'Bicaluta']","['Viên nén 50 mg', 'Viên nén 150 mg']",bicalutamide,l02bb03,thuoc khang androgen.,"['vien nen 50mg', 'vien nen 150mg']","['casodex', 'bicaluta']","['vien', '150mg', 'thuoc', 'bicaluta', 'androgen', 'bicalutamide', 'l02bb03', 'nen', 'casodex', '50mg', 'khang']",[],"{""oral""}",False,,['hepatic_toxic'],Phụ nữ; Suy gan nặng.,"{""oncology""}"
ABIRATERONE,Thuốc ức chế CYP17 (Điều trị Ung thư tiền liệt tuyến).,"['Zytiga', 'Abirate']","['Viên nén 250 mg', 'Viên nén 500 mg']",abiraterone,l02bx03,thuoc uc che cyp17 (dieu tri ung thu tien liet tuyen).,"['vien nen 250mg', 'vien nen 500mg']","['zytiga', 'abirate']","['liet', 'uc', 'ung', 'vien', 'abiraterone', 'l02bx03', 'zytiga', 'thu', 'tri', 'abirate', 'che', '250mg', 'cyp17', 'nen', 'dieu', 'thuoc', 'tuyen', '500mg', 'tien']",[],"{""oral""}",False,,"['hepatic_toxic', 'pregnancy_risk']",Phụ nữ có thai; Suy gan nặng.,"{""oncology""}"
ENZALUTAMIDE,Thuốc kháng Androgen (Thế hệ mới).,"['Xtandi', 'Enzaluta']",['Viên nang 40 mg'],enzalutamide,l02bb04,thuoc khang androgen (the he moi).,['vien nang 40mg'],"['xtandi', 'enzaluta']","['xtandi', 'vien', 'he', 'nang', 'enzalutamide', 'thuoc', 'moi', 'enzaluta', 'the', 'androgen', '40mg', 'khang', 'l02bb04']",[],"{""oral""}",False,,['pregnancy_risk'],Phụ nữ có thai.,"{""oncology""}"
DIPHTHERIA ANTITOXIN (DAT),Kháng độc tố (Điều trị Bạch hầu).,['DAT'],['Thuốc tiêm'],diphtheria antitoxin (dat),j06aa01,khang doc to (dieu tri bach hau).,['thuoc tiem'],['dat'],"['doc', 'to', 'dieu', 'bach', 'hau', 'j06aa01', 'thuoc', 'diphtheria', 'antitoxin', 'dat', 'tiem', 'tri', 'khang']",[],"{""injection""}",False,,[],Quá mẫn với protein ngựa (cần test da).,"{""infectious""}"
TETANUS IMMUNOGLOBULIN (TIG),Globulin miễn dịch (Phòng ngừa Uốn ván).,['TIG'],['Thuốc tiêm'],tetanus immunoglobulin (tig),j06bb02,globulin mien dich (phong ngua uon van).,['thuoc tiem'],['tig'],"['ngua', 'immunoglobulin', 'van', 'globulin', 'j06bb02', 'tig', 'dich', 'thuoc', 'tetanus', 'tiem', 'mien', 'phong', 'uon']",[],"{""injection""}",False,,[],Quá mẫn với protein người.,"{""infectious""}"
ANTI-RABIES SERUM (ARS),Globulin miễn dịch (Phòng ngừa Dại).,['ARS'],['Thuốc tiêm'],anti-rabies serum (ars),j06bb05,globulin mien dich (phong ngua dai).,['thuoc tiem'],['ars'],"['ngua', 'ars', 'serum', 'globulin', 'j06bb05', 'dai', 'thuoc', 'dich', 'tiem', 'mien', 'antirabies', 'phong']",[],"{""injection""}",False,,[],Quá mẫn.,"{""infectious""}"
DIGOXIN IMMUNE FAB,Kháng thể (Giải độc Digoxin).,['Digibind'],['Bột pha tiêm'],digoxin immune fab,v03ab11,khang the (giai doc digoxin).,['bot pha tiem'],['digibind'],"['doc', 'bot', 'fab', 'pha', 'v03ab11', 'the', 'giai', 'digibind', 'immune', 'tiem', 'digoxin', 'khang']",[],"{""injection""}",False,,[],Quá mẫn với protein cừu.,{}
CROFAB (Kháng nọc rắn),Kháng huyết thanh (Giải độc nọc rắn).,['CroFab'],['Bột pha tiêm'],crofab (khang noc ran),j06aa03,khang huyet thanh (giai doc noc ran).,['bot pha tiem'],['crofab'],"['doc', 'bot', 'pha', 'noc', 'giai', 'j06aa03', 'crofab', 'thanh', 'tiem', 'huyet', 'ran', 'khang']",[],"{""injection""}",False,,[],Quá mẫn với protein cừu/đuôi cừu.,"{""infectious""}"
BETHANECHOL,Thuốc cường Cholinergic (Điều trị bí tiểu).,"['Urecholine', 'Betha']","['Viên nén 5 mg', 'Viên nén 10 mg', 'Viên nén 25 mg']",bethanechol,n07ab01,thuoc cuong cholinergic (dieu tri bi tieu).,"['vien nen 5mg', 'vien nen 10mg', 'vien nen 25mg']","['urecholine', 'betha']","['10mg', 'vien', 'dieu', 'urecholine', 'bethanechol', 'n07ab01', '25mg', 'thuoc', 'cholinergic', '5mg', 'tieu', 'cuong', 'bi', 'tri', 'nen', 'betha']",[],"{""oral""}",False,,[],Hen phế quản; Loét dạ dày tiến triển; Tắc nghẽn cơ học.,"{""neurology""}"
EDROPHONIUM,Thuốc ức chế Cholinesterase (Chẩn đoán Nhược cơ).,"['Tensilon', 'Edrophonium']",['Thuốc tiêm'],edrophonium,n07aa01,thuoc uc che cholinesterase (chan doan nhuoc co).,['thuoc tiem'],"['tensilon', 'edrophonium']","['che', 'doan', 'co', 'thuoc', 'cholinesterase', 'nhuoc', 'tiem', 'edrophonium', 'n07aa01', 'uc', 'tensilon', 'chan']",[],"{""injection""}",False,,[],Tắc nghẽn cơ học đường tiểu/tiêu hóa; Rối loạn nhịp chậm.,"{""neurology""}"
PYRIDOSTIGMINE,Thuốc ức chế Cholinesterase (Điều trị Nhược cơ).,"['Mestinon', 'Pyridos']",['Viên nén 60 mg'],pyridostigmine,n07aa02,thuoc uc che cholinesterase (dieu tri nhuoc co).,['vien nen 60mg'],"['mestinon', 'pyridos']","['che', 'nen', 'vien', 'dieu', 'pyridos', '60mg', 'co', 'thuoc', 'cholinesterase', 'pyridostigmine', 'nhuoc', 'n07aa02', 'mestinon', 'tri', 'uc']",[],"{""oral""}",False,,[],Tắc nghẽn cơ học đường tiểu/tiêu hóa.,"{""neurology""}"
RIVASTIGMINE,Thuốc ức chế Cholinesterase (Điều trị Alzheimer).,"['Exelon', 'Rivas']",[],rivastigmine,n06da03,thuoc uc che cholinesterase (dieu tri alzheimer).,[],"['exelon', 'rivas']","['che', 'dieu', 'thuoc', 'cholinesterase', 'rivas', 'exelon', 'rivastigmine', 'n06da03', 'alzheimer', 'tri', 'uc']",[],"{""oral""}",False,,[],Quá mẫn; Dạng miếng dán gây phản ứng da nặng.,"{""psychiatry""}"
DONEPEZIL,Thuốc ức chế Cholinesterase (Điều trị Alzheimer).,"['Aricept', 'Donepezil']","['Viên nén 5 mg', 'Viên nén 10 mg']",donepezil,n06da02,thuoc uc che cholinesterase (dieu tri alzheimer).,"['vien nen 5mg', 'vien nen 10mg']","['aricept', 'donepezil']","['che', 'nen', 'vien', 'dieu', '10mg', 'aricept', 'thuoc', 'donepezil', 'cholinesterase', '5mg', 'alzheimer', 'n06da02', 'uc', 'tri']",[],"{""oral""}",False,,[],Quá mẫn.,"{""psychiatry""}"
MEMANTINE,Thuốc đối kháng NMDA (Điều trị Alzheimer).,"['Ebixa', 'Meman']","['Viên nén 5 mg', 'Viên nén 10 mg']",memantine,n06dx01,thuoc doi khang nmda (dieu tri alzheimer).,"['vien nen 5mg', 'vien nen 10mg']","['ebixa', 'meman']","['10mg', 'vien', 'dieu', 'meman', 'nmda', 'thuoc', '5mg', 'memantine', 'alzheimer', 'ebixa', 'tri', 'nen', 'doi', 'n06dx01', 'khang']",[],"{""oral""}",False,,[],Quá mẫn.,"{""psychiatry""}"
ROPINIROLE,"Thuốc chủ vận Dopamine (Điều trị Parkinson, RLS).","['Requip', 'Ropini']",['Viên nén 0.25 mg - 5 mg'],ropinirole,n04bc04,"thuoc chu van dopamine (dieu tri parkinson, rls).",['vien nen 0.25mg - 5mg'],"['requip', 'ropini']","['nen', '025mg', 'vien', 'dieu', 'ropini', 'van', 'ropinirole', 'n04bc04', 'thuoc', 'chu', 'rls', '5mg', 'requip', 'dopamine', 'tri', 'parkinson']",[],"{""oral""}",False,,[],Quá mẫn.,"{""neurology""}"
PRAMIPEXOLE,Thuốc chủ vận Dopamine.,"['Mirapex', 'Pramipe']",['Viên nén 0.125 mg - 1.5 mg'],pramipexole,n04bc05,thuoc chu van dopamine.,['vien nen 0.125mg - 1.5mg'],"['mirapex', 'pramipe']","['n04bc05', 'vien', 'van', '15mg', 'mirapex', 'chu', 'thuoc', '0125mg', 'pramipexole', 'pramipe', 'dopamine', 'nen']",[],"{""oral""}",False,,[],Quá mẫn.,"{""neurology""}"
ENTACAPONE,Thuốc ức chế COMT (Điều trị Parkinson).,"['Comtan', 'Entaca']",['Viên nén 200 mg'],entacapone,n04bx02,thuoc uc che comt (dieu tri parkinson).,['vien nen 200mg'],"['comtan', 'entaca']","['che', 'comt', 'vien', 'dieu', 'nen', 'entaca', 'n04bx02', 'thuoc', '200mg', 'parkinson', 'entacapone', 'uc', 'tri', 'comtan']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",U tủy thượng thận; Bệnh gan.,"{""neurology""}"
SELEGILINE,Thuốc ức chế MAO-B (Điều trị Parkinson).,"['Eldepryl', 'Selegi']",['Viên nén 5 mg'],selegiline,n04bd01,thuoc uc che mao-b (dieu tri parkinson).,['vien nen 5mg'],"['eldepryl', 'selegi']","['che', 'nen', 'vien', 'dieu', 'thuoc', '5mg', 'eldepryl', 'n04bd01', 'selegi', 'parkinson', 'selegiline', 'tri', 'uc', 'maob']",[],"{""oral""}",False,,[],"Dùng đồng thời với Meperidine, SSRI/SNRI (nguy cơ hội chứng Serotonin).","{""neurology""}"
RASAGILINE,Thuốc ức chế MAO-B.,"['Azilect', 'Rasagi']","['Viên nén 0.5 mg', 'Viên nén 1 mg']",rasagiline,n04bd02,thuoc uc che mao-b.,"['vien nen 0.5mg', 'vien nen 1mg']","['azilect', 'rasagi']","['che', 'nen', 'vien', 'azilect', 'thuoc', 'n04bd02', '05mg', '1mg', 'uc', 'maob', 'rasagi', 'rasagiline']",[],"{""oral""}",False,,[],"Dùng đồng thời với Meperidine, SSRI/SNRI, TCA.","{""neurology""}"
TOL CAPONE,Thuốc ức chế COMT.,"['Tasmar', 'Tolca']","['Viên nén 100 mg', 'Viên nén 200 mg']",tol capone,n04bx01,thuoc uc che comt.,"['vien nen 100mg', 'vien nen 200mg']","['tasmar', 'tolca']","['che', 'comt', 'vien', 'capone', 'nen', '100mg', 'tolca', 'n04bx01', 'thuoc', '200mg', 'tasmar', 'tol', 'uc']",[],"{""oral""}",False,,['hepatic_toxic'],Bệnh gan nặng; Tiền sử tiêu cơ vân nặng.,"{""neurology""}"
TETRABENAZINE,Thuốc ức chế VMAT2 (Điều trị múa giật Huntington).,"['Xenazine', 'Tetrabe']","['Viên nén 12.5 mg', 'Viên nén 25 mg']",tetrabenazine,n07xx06,thuoc uc che vmat2 (dieu tri mua giat huntington).,"['vien nen 12.5mg', 'vien nen 25mg']","['xenazine', 'tetrabe']","['che', 'giat', 'vien', 'vmat2', 'tetrabenazine', 'dieu', 'nen', '125mg', 'huntington', 'mua', '25mg', 'thuoc', 'tetrabe', 'tri', 'uc', 'xenazine', 'n07xx06']",[],"{""oral""}",False,,['hepatic_toxic'],Trầm cảm không được điều trị; Suy gan nặng; Đang dùng MAOI.,"{""neurology""}"
RIZATRIPTAN (Viên tan rã),Triptan (Điều trị đau nửa đầu).,['Maxalt-MLT'],"['Viên nén tan rã 5 mg', 'Viên nén tan rã 10 mg']",rizatriptan (vien tan ra),n02cc04,triptan (dieu tri dau nua dau).,"['vien nen tan ra 5mg', 'vien nen tan ra 10mg']",['maxalt-mlt'],"['ra', '10mg', 'vien', 'dieu', 'rizatriptan', 'triptan', 'dau', 'tan', 'nua', 'n02cc04', '5mg', 'tri', 'nen', 'maxaltmlt']",[],"{""oral""}",False,,[],"Bệnh mạch vành, thiếu máu cục bộ; Tăng huyết áp không kiểm soát; Dùng đồng thời với MAOI.","{""pain""}"
NALTREXONE,Thuốc đối kháng Opioid (Điều trị nghiện).,"['ReVia', 'Naltrex']",['Viên nén 50 mg'],naltrexone,n07bb04,thuoc doi khang opioid (dieu tri nghien).,['vien nen 50mg'],"['revia', 'naltrex']","['opioid', 'vien', 'dieu', 'naltrex', 'nghien', 'n07bb04', 'thuoc', 'naltrexone', 'revia', 'tri', 'nen', 'doi', '50mg', 'khang']",[],"{""oral""}",False,,['hepatic_toxic'],Bệnh nhân đang dùng Opioid; Suy gan cấp tính.,"{""neurology""}"
DISULFIRAM,Điều trị nghiện rượu (Ức chế Aldehyde dehydrogenase).,"['Antabuse', 'Disulf']","['Viên nén 250 mg', 'Viên nén 500 mg']",disulfiram,n07bb01,dieu tri nghien ruou (uc che aldehyde dehydrogenase).,"['vien nen 250mg', 'vien nen 500mg']","['antabuse', 'disulf']","['che', 'aldehyde', 'vien', 'dieu', 'nen', 'antabuse', 'nghien', '250mg', 'n07bb01', 'disulfiram', 'disulf', 'tri', 'uc', '500mg', 'dehydrogenase', 'ruou']",[],"{""oral""}",False,,['renal_adjust'],Dùng đồng thời với alcohol; Bệnh tim mạch nặng; Loạn thần.,"{""neurology""}"
BUPROPION/NALTREXONE,Điều trị béo phì (Phối hợp).,"['Contrave', 'Bupropion/Naltrex']",['Viên nén giải phóng kéo dài'],bupropion/naltrexone,n06ax25,dieu tri beo phi (phoi hop).,['vien nengiai phong keo dai'],"['contrave', 'bupropion/naltrex']","['nengiai', 'vien', 'dieu', 'n06ax25', 'bupropion/naltrexone', 'keo', 'contrave', 'hop', 'dai', 'phi', 'phong', 'bupropion/naltrex', 'tri', 'phoi', 'beo']",[],"{""oral""}",False,,[],Đang dùng Opioid; Tăng huyết áp không kiểm soát; Rối loạn co giật.,"{""psychiatry""}"
ZICONOTIDE,Thuốc giảm đau (Ức chế kênh Calci).,"['Prialt', 'Ziconotide']",['Thuốc tiêm nội tủy'],ziconotide,n02bg07,thuoc giam dau (uc che kenh calci).,['thuoc tiem noi tuy'],"['prialt', 'ziconotide']","['che', 'calci', 'noi', 'dau', 'prialt', 'kenh', 'ziconotide', 'thuoc', 'tuy', 'tiem', 'n02bg07', 'uc', 'giam']",[],"{""injection""}",False,,['renal_adjust'],Tiêm tĩnh mạch (Gây tử vong); Rối loạn tâm thần nặng.,"{""pain""}"
TAPENTADOL,Thuốc giảm đau Opioid/SNRI.,"['Nucynta', 'Tapentadol']","['Viên nén 50 mg', 'Viên nén 75 mg', 'Viên nén 100 mg']",tapentadol,n02ax06,thuoc giam dau opioid/snri.,"['vien nen 50mg', 'vien nen 75mg', 'vien nen 100mg']","['nucynta', 'tapentadol']","['100mg', 'vien', 'tapentadol', 'dau', 'n02ax06', '75mg', 'thuoc', '50mg', 'nucynta', 'nen', 'giam', 'opioid/snri']",[],"{""oral""}",False,,[],Dùng đồng thời với MAOI.,"{""pain""}"
BUPRENORPHINE,Thuốc giảm đau Opioid (Điều trị nghiện).,"['Subutex', 'Buprenor']",[],buprenorphine,n07bc01,thuoc giam dau opioid (dieu tri nghien).,[],"['subutex', 'buprenor']","['opioid', 'buprenorphine', 'dieu', 'n07bc01', 'dau', 'nghien', 'thuoc', 'tri', 'giam', 'buprenor', 'subutex']",[],"{""oral""}",False,,[],Suy hô hấp nặng; Dùng đồng thời với Opioid khác (có thể gây hội chứng cai).,"{""neurology""}"
MORPHINE (Giải phóng chậm),Thuốc giảm đau Opioid.,"['MS Contin', 'Morphi']",['Viên nang giải phóng chậm'],morphine (giai phong cham),n02aa01,thuoc giam dau opioid.,['vien nanggiai phong cham'],"['ms contin', 'morphi']","['opioid', 'vien', 'nanggiai', 'contin', 'cham', 'dau', 'morphine', 'ms', 'thuoc', 'morphi', 'n02aa01', 'giai', 'giam', 'phong']",[],"{""oral""}",False,,[],Suy hô hấp cấp; Tắc ruột do liệt.,"{""pain""}"
HYDROCODONE/ACETAMINOPHEN,Thuốc giảm đau Opioid (Phối hợp).,"['Vicodin', 'Hydroco/APAP']",['Viên nén (Nhiều hàm lượng)'],hydrocodone/acetaminophen,n02aj06,thuoc giam dau opioid (phoi hop).,['vien nen (nhieu ham luong)'],"['vicodin', 'hydroco/apap']","['opioid', 'vien', 'luong', 'vicodin', 'dau', 'n02aj06', 'thuoc', 'ham', 'hydrocodone/acetaminophen', 'hydroco/apap', 'nen', 'giam', 'phoi', 'hop', 'nhieu']",[],"{""oral""}",False,,['hepatic_toxic'],Suy hô hấp cấp; Suy gan nặng (do APAP).,"{""pain""}"
TRAMADOL/ACETAMINOPHEN,Thuốc giảm đau (Phối hợp Opioid yếu/APAP).,"['Ultracet', 'Tram/APAP']",['Viên nén'],tramadol/acetaminophen,n02aj13,thuoc giam dau (phoi hop opioid yeu/apap).,['vien nen'],"['ultracet', 'tram/apap']","['opioid', 'tramadol/acetaminophen', 'n02aj13', 'vien', 'dau', 'thuoc', 'tram/apap', 'yeu/apap', 'nen', 'giam', 'phoi', 'hop', 'ultracet']",[],"{""oral""}",False,,['hepatic_toxic'],Dùng đồng thời với MAOI; Suy gan nặng.,"{""pain""}"
CLONAZEPAM,"Benzodiazepine (Điều trị động kinh, Lo âu).","['Klonopin', 'Clona']","['Viên nén 0.5 mg', 'Viên nén 1 mg', 'Viên nén 2 mg']",clonazepam,n03ae01,"benzodiazepine (dieu tri dong kinh, lo au).","['vien nen 0.5mg', 'vien nen 1mg', 'vien nen 2mg']","['klonopin', 'clona']","['vien', 'dieu', 'klonopin', '05mg', 'lo', 'au', 'clonazepam', '2mg', '1mg', 'kinh', 'n03ae01', 'dong', 'tri', 'nen', 'benzodiazepine', 'clona']",[],"{""oral""}",False,,['hepatic_toxic'],Suy hô hấp nặng; Glôcôm góc đóng; Suy gan nặng.,"{""neurology""}"
LAMOTRIGINE,Thuốc chống động kinh.,"['Lamictal', 'Lamo']","['Viên nén 25 mg', 'Viên nén 100 mg', 'Viên nén 200 mg']",lamotrigine,n03ax09,thuoc chong dong kinh.,"['vien nen 25mg', 'vien nen 100mg', 'vien nen 200mg']","['lamictal', 'lamo']","['100mg', 'vien', 'lamo', 'lamictal', 'thuoc', 'lamotrigine', '200mg', 'n03ax09', 'chong', 'dong', 'kinh', '25mg', 'nen']",[],"{""oral""}",False,,[],Quá mẫn (nguy cơ hội chứng Stevens-Johnson).,"{""neurology""}"
LEVETIRACETAM,Thuốc chống động kinh.,"['Keppra', 'Levetir']","['Viên nén 500 mg', 'Viên nén 1000 mg', 'Thuốc tiêm']",levetiracetam,n03ax14,thuoc chong dong kinh.,"['vien nen 500mg', 'vien nen 1000mg', 'thuoc tiem']","['keppra', 'levetir']","['nen', 'vien', 'thuoc', 'n03ax14', 'chong', 'kinh', 'dong', '1000mg', 'tiem', 'levetiracetam', '500mg', 'levetir', 'keppra']",[],"{""oral"",""injection""}",False,,[],Quá mẫn.,"{""neurology""}"
OXCARBAZEPINE,Thuốc chống động kinh (Dẫn chất Carbamazepine).,"['Trileptal', 'Oxcarba']","['Viên nén 150 mg', 'Viên nén 300 mg', 'Viên nén 600 mg']",oxcarbazepine,n03af02,thuoc chong dong kinh (dan chat carbamazepine).,"['vien nen 150mg', 'vien nen 300mg', 'vien nen 600mg']","['trileptal', 'oxcarba']","['vien', '150mg', 'dan', 'carbamazepine', '600mg', 'oxcarbazepine', 'trileptal', 'thuoc', 'chat', 'chong', 'kinh', 'dong', 'oxcarba', 'n03af02', 'nen', '300mg']",[],"{""oral""}",False,,[],Quá mẫn (dị ứng chéo với Carbamazepine).,"{""neurology""}"
ZONISAMIDE,Thuốc chống động kinh.,"['Zonegran', 'Zonis']","['Viên nang 25 mg', 'Viên nang 50 mg', 'Viên nang 100 mg']",zonisamide,n03ax15,thuoc chong dong kinh.,"['vien nang 25mg', 'vien nang 50mg', 'vien nang 100mg']","['zonegran', 'zonis']","['100mg', 'vien', 'zonegran', 'zonis', 'nang', 'n03ax15', 'thuoc', 'zonisamide', 'chong', 'dong', 'kinh', '25mg', '50mg']",[],"{""oral""}",False,,[],Dị ứng Sulfonamide.,"{""neurology""}"
PREGABALIN,"Thuốc chống co giật (Điều trị đau thần kinh, lo âu).","['Lyrica', 'Prega']","['Viên nang 75 mg', 'Viên nang 150 mg', 'Viên nang 300 mg']",pregabalin,n02bx16,"thuoc chong co giat (dieu tri dau than kinh, lo au).","['vien nang 75mg', 'vien nang 150mg', 'vien nang 300mg']","['lyrica', 'prega']","['75mg', 'prega', 'au', 'giat', 'vien', 'dau', 'lyrica', 'tri', '150mg', 'nang', 'co', 'kinh', '300mg', 'dieu', 'than', 'n02bx16', 'thuoc', 'pregabalin', 'chong', 'lo']",[],"{""oral""}",False,,[],Quá mẫn.,"{""pain""}"
GABAPENTIN,Thuốc chống co giật (Điều trị đau thần kinh).,"['Neurontin', 'Gabapen']","['Viên nang 100 mg', 'Viên nang 300 mg', 'Viên nang 400 mg']",gabapentin,n03ax12,thuoc chong co giat (dieu tri dau than kinh).,"['vien nang 100mg', 'vien nang 300mg', 'vien nang 400mg']","['neurontin', 'gabapen']","['100mg', 'vien', 'dieu', 'than', 'nang', 'n03ax12', 'dau', 'co', 'gabapentin', 'neurontin', 'thuoc', 'gabapen', 'chong', 'kinh', '400mg', 'tri', 'giat', '300mg']",[],"{""oral""}",False,,[],Quá mẫn.,"{""neurology""}"
